half_hour,dam_price,target_settlement,spread,dam_price/kwh,target_settlement/kwh,spread/kwh
0,91.25423287671232,83.63048405471078,7.6237488220015495,0.091254233,0.083630484,0.007623749
1,90.43160273972603,82.93600984116071,7.4955928985653095,0.090431603,0.08293601,0.007495593
2,86.77407306027398,89.30407651,-2.530003445,0.086774073,0.089304077,-0.002530003
3,85.9953242,90.43384477214543,-4.438520572,0.085995324,0.090433845,-0.004438521
4,85.66474350410958,89.50589763181286,-3.841154128,0.085664744,0.089505898,-0.003841154
5,85.22943221643835,92.21190119490977,-6.982468978,0.085229432,0.092211901,-0.006982469
6,83.49996567397261,87.58448856,-4.084522881,0.083499966,0.087584489,-0.004084523
7,83.01181420273973,83.24366575,-0.231851545,0.083011814,0.083243666,-0.000231852
8,82.63795953424658,80.34702797232531,2.290931561921271,0.08263796,0.080347028,0.002290932
9,82.43698614520548,82.34388208818473,0.093104057,0.082436986,0.082343882,9.31041E-05
10,85.27721823287672,84.87464560083875,0.40257263203796523,0.085277218,0.084874646,0.000402573
11,85.82735899726028,82.24564774734188,3.5817112499183965,0.085827359,0.082245648,0.003581711
12,99.89615273150685,82.85326851798742,17.042884213519432,0.099896153,0.082853269,0.017042884
13,102.59202865753424,90.87263866058582,11.719389996948417,0.102592029,0.090872639,0.01171939
14,117.3428634849315,112.91642471799433,4.426438766937175,0.117342863,0.112916425,0.004426439
15,123.21653849863013,115.51457390401623,7.701964594613904,0.123216538,0.115514574,0.007701965
16,127.53926830410958,112.69215722803297,14.847111076076631,0.127539268,0.112692157,0.014847111
17,129.37623098630135,117.57128917142711,11.804941814874256,0.129376231,0.117571289,0.011804942
18,124.15805668493151,123.50319482888395,0.6548618560475586,0.124158057,0.123503195,0.000654862
19,123.99173169589041,122.49542155504827,1.4963101408421395,0.123991732,0.122495422,0.00149631
20,112.47370807671233,125.02208448896734,-12.54837641,0.112473708,0.125022084,-0.012548376
21,111.03228720000001,119.00699953510909,-7.974712335,0.111032287,0.119007,-0.007974712
22,101.80242796438357,113.79134601844787,-11.98891805,0.101802428,0.113791346,-0.011988918
23,100.86607557808219,109.52730476131596,-8.661229183,0.100866076,0.109527305,-0.008661229
24,97.81587387945204,107.7920042824166,-9.976130403,0.097815874,0.107792004,-0.00997613
25,97.91585026027397,107.08701551193886,-9.171165252,0.09791585,0.107087016,-0.009171165
26,94.87373349041097,98.77584550525779,-3.902112015,0.094873733,0.098775846,-0.003902112
27,94.34054822739726,107.33564686606336,-12.99509864,0.094340548,0.107335647,-0.012995099
28,94.45028077534248,104.07846132309831,-9.628180548,0.094450281,0.104078461,-0.009628181
29,95.08986263561644,96.67959622006859,-1.589733584,0.095089863,0.096679596,-0.001589734
30,99.18212942739726,108.01429331082028,-8.832163883,0.099182129,0.108014293,-0.008832164
31,102.19646197534246,108.67150930487004,-6.47504733,0.102196462,0.108671509,-0.006475047
32,114.46776712328767,116.4905407346621,-2.022773611,0.114467767,0.116490541,-0.002022774
33,120.27280821917807,131.36902962125276,-11.0962214,0.120272808,0.13136903,-0.011096221
34,137.87339269315066,149.95044484932782,-12.07705216,0.137873393,0.149950445,-0.012077052
35,139.9017853890411,146.58280796256977,-6.681022574,0.139901785,0.146582808,-0.006681023
36,149.23115068493152,154.2733415176684,-5.042190833,0.149231151,0.154273342,-0.005042191
37,146.0616986,140.2072115736544,5.8544870564825855,0.146061699,0.140207212,0.005854487
38,147.33634246575343,142.56946016784556,4.766882297907855,0.147336342,0.14256946,0.004766882
39,143.30754794520547,139.68941388015995,3.618134065045526,0.143307548,0.139689414,0.003618134
40,139.97757077534246,129.30350992389108,10.674060851451358,0.139977571,0.12930351,0.010674061
41,135.68533333424656,134.24958367969262,1.435749654553962,0.135685333,0.134249584,0.00143575
42,129.27610045753426,128.9260818667972,0.35001859073705993,0.1292761,0.128926082,0.000350019
43,123.83992693972603,117.35469063977276,6.485236299953263,0.123839927,0.117354691,0.006485236
44,109.69790410958905,104.22294992595747,5.474954183631564,0.109697904,0.10422295,0.005474954
45,105.98697260273973,100.65451128214991,5.332461320589815,0.105986973,0.100654511,0.005332461
46,100.12346575342467,106.10232337877004,-5.978857625,0.100123466,0.106102323,-0.005978858
47,97.92310958904109,105.53468287452134,-7.611573285,0.09792311,0.105534683,-0.007611573
