slot,time_label,tariff_band,avg_kwh,share
1,00:00,night,37.11234075,0.010627715
2,00:30,night,26.35440057,0.007547006
3,01:00,night,18.65317817,0.005341637
4,01:30,night,15.0882526,0.004320763
5,02:00,night,12.42370365,0.003557727
6,02:30,night,11.50150698,0.003293641
7,03:00,night,9.456393334,0.00270799
8,03:30,night,8.523862325,0.002440945
9,04:00,night,9.734709762,0.00278769
10,04:30,night,9.969296176,0.002854868
11,05:00,night,12.6479516,0.003621944
12,05:30,night,15.10540966,0.004325677
13,06:00,night,20.31363112,0.005817134
14,06:30,night,25.56480358,0.007320892
15,07:00,day,41.31745602,0.011831917
16,07:30,day,50.05808762,0.014334937
17,08:00,day,63.19627235,0.018097267
18,08:30,day,72.69699964,0.020817953
19,09:00,day,81.27909515,0.023275574
20,09:30,day,87.88801619,0.025168145
21,10:00,day,86.79150724,0.024854142
22,10:30,day,90.84190861,0.026014039
23,11:00,day,88.35746099,0.025302578
24,11:30,day,89.36815324,0.025592006
25,12:00,day,93.74518934,0.02684544
26,12:30,day,97.66440416,0.02796777
27,13:00,day,95.11157937,0.027236728
28,13:30,day,85.15095663,0.024384344
29,14:00,day,81.18655473,0.023249074
30,14:30,day,78.02518639,0.022343765
31,15:00,day,79.08275561,0.022646617
32,15:30,day,82.63740272,0.023664547
33,16:00,day,93.34879658,0.026731927
34,16:30,day,110.428506,0.031622976
35,17:00,peak,133.3101542,0.038175503
36,17:30,peak,143.7693556,0.041170664
37,18:00,peak,147.3004765,0.042181857
38,18:30,peak,146.2095555,0.041869454
39,19:00,day,136.4498848,0.039074616
40,19:30,day,127.3679449,0.036473856
41,20:00,day,122.506897,0.035081817
42,20:30,day,118.5400394,0.033945844
43,21:00,day,119.2954073,0.034162156
44,21:30,day,107.7624884,0.030859519
45,22:00,day,99.15909587,0.028395799
46,22:30,day,85.80073244,0.024570418
47,23:00,night,69.90075472,0.020017204
48,23:30,night,54.03544334,0.015473917
